user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
beautifulsmoothies	791	14.4k	93	0	4				30	6,061,351;4,419,555;9,672,132;12,009,888;47,184,159;61,211,687;1,032,093;18,894,850;3,661,851;123,700,395;7,309,017;657,134;4,440,901;46,825,862;15,659,605;61,221,210;1,849,562;324,829;426,117;2,495,956;14,325,015;344,825;4,792,507;893,811;117,002,533;4,863,948;	711
beautifulsmoothies	791	14.4k	93	0	0				30	1,889,837;157,846;1,570,510;584,976;6,061,354;4,419,567;9,672,149;12,009,903;47,184,182;61,211,723;1,032,093;18,894,863;3,661,857;123,700,548;7,309,021;657,137;4,440,908;46,825,908;15,659,621;61,221,264;1,849,564;324,831;426,117;2,495,958;14,325,021;344,825;4,792,515;893,813;117,002,664;4,863,955;	733
beautifulsmoothies	791	14.4k	93	0	3				30	1,889,837;157,846;1,570,517;584,975;6,061,356;4,419,581;9,672,161;12,009,917;47,184,227;61,211,748;1,032,096;18,894,882;3,661,860;123,700,716;7,309,029;657,137;4,440,909;46,825,972;15,659,640;61,221,322;1,849,567;324,834;426,117;117,002,784;4,863,960;	1,499
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,842;157,847;1,570,520;584,975;6,061,360;4,419,597;9,672,174;12,009,923;47,184,266;61,211,750;1,032,099;18,894,902;3,661,861;123,700,858;7,309,036;657,140;4,440,913;46,826,008;15,659,667;61,221,367;1,849,570;324,834;426,117;2,495,957;14,325,034;344,825;4,792,531;893,818;117,002,902;4,863,966;	1,063
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,843;157,848;1,570,523;584,975;6,061,364;4,419,609;9,672,181;12,009,927;61,211,761;1,032,104;18,894,916;3,661,864;123,700,993;7,309,045;657,141;4,440,916;46,826,030;15,659,681;61,221,411;1,849,570;324,839;426,118;2,495,959;14,325,050;344,827;4,792,543;893,822;117,002,994;	1,420
beautifulsmoothies	791	14.4k	93	0	3				30	1,889,844;157,848;1,570,530;584,977;6,061,366;4,419,621;9,672,190;12,009,933;47,184,335;61,211,784;1,032,107;18,894,925;3,661,869;123,701,144;7,309,050;657,140;4,440,918;46,826,075;15,659,700;61,221,460;1,849,570;324,840;426,117;2,495,960;14,325,057;344,828;4,792,549;893,825;117,003,114;4,863,980;	3,122
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,846;157,848;1,570,531;584,977;6,061,368;4,419,631;9,672,201;12,009,944;47,184,378;61,211,818;1,032,111;18,894,936;3,661,875;123,701,290;7,309,054;657,141;4,440,920;46,826,093;15,659,709;61,221,499;1,849,574;324,841;426,118;2,495,962;14,325,061;344,831;4,792,564;893,827;117,003,199;4,863,991;	1,305
beautifulsmoothies	791	14.4k	93	0	1				30	1,889,845;157,848;1,570,531;584,979;6,061,369;4,419,644;9,672,207;12,009,947;47,184,390;61,211,845;1,032,115;18,894,949;3,661,876;123,701,429;7,309,060;657,141;4,440,925;15,659,720;61,221,537;1,849,575;324,841;426,118;2,495,962;14,325,063;344,831;4,792,575;893,829;117,003,300;4,863,996;	572
beautifulsmoothies	791	14.4k	93	0	3				30	1,889,846;157,848;1,570,533;584,981;6,061,372;4,419,655;9,672,215;123,701,548;7,309,063;657,141;4,440,931;46,826,167;15,659,740;61,221,583;1,849,575;324,842;426,118;2,495,965;14,325,070;344,833;4,792,583;893,832;117,003,404;4,864,003;	1,133
beautifulsmoothies	791	14.4k	93	0	4				30	1,889,846;157,848;1,570,535;584,981;6,061,374;4,419,665;9,672,223;12,009,965;47,184,428;61,211,910;1,032,117;18,894,979;3,661,879;123,701,685;7,309,068;657,142;4,440,934;46,826,235;15,659,759;61,221,620;1,849,577;324,843;426,119;2,495,967;14,325,074;344,836;4,792,598;893,834;117,003,478;4,864,009;	1,182
