user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
vogue_ukraine	4,169	168k	131	0	12	6,786;250;1,232;250;1,232;38;5,201;2;619;28;6,786;704;	512k;50.9k;68.4k;50.9k;68.4k;149;7,115;63;76.5k;18.5k;512k;255;	679;2,704;2,863;2,704;2,863;169;4,265;13;701;229;679;446;	7	9,866300,552,96212,160,45525,799,861514,247,39546,49053,532	1,565
vogue_ukraine	4,169	168k	131	0	11	6,786;250;1,232;250;1,232;38;5,201;2;619;28;6,786;	512k;50.9k;68.4k;50.9k;68.4k;149;7,115;63;76.5k;18.5k;512k;	679;2,704;2,863;2,704;2,863;169;4,265;13;701;229;679;	7	9,866300,553,04912,160,45725,799,864514,247,54946,49053,532	2,824
vogue_ukraine	4,169	168k	131	0	11	6,786;250;1,232;250;1,232;38;5,201;2;619;28;6,786;	512k;50.9k;68.4k;50.9k;68.4k;149;7,115;63;76.5k;18.5k;512k;	679;2,704;2,863;2,704;2,863;169;4,265;13;701;229;679;	7	9,866300,553,10612,160,46225,799,864514,247,62346,49053,532	1,274
vogue_ukraine	4,169	168k	131	0	10	444;1,256;279;325;22;56;589;444;798;208;	27.2k;10.6k;4,329;461;2,469;451;5,402;27.2k;21.2k;427;	204;987;1,097;195;448;234;910;204;4,409;207;	5	9,8669,866300,553,1609,670,921514,247,711	2,120
vogue_ukraine	4,169	168k	131	1	2	680;102;	38.4k;4,202;	755;427;	1	9,866	935
taylorswift	154	108m	0	0	2	10,499;354;	4.3m;17.3k;	474;977;	0		141,112
taylorswift	154	108m	0	0	3	2,609;1,604;6,416;	5.6m;36.6k;291k;	584;256;913;	0		360,308
taylorswift	154	108m	0	0	2	3,660;6,416;	12.5m;291k;	248;913;	0		726,084
taylorswift	154	108m	0	0	1	6,416;	291k;	913;	0		1,167,441
taylorswift	154	108m	0	0	0				0		1,096,278
taylorswift	154	108m	0	0	2	472;6,416;	36.4k;291k;	648;913;	1	391,664	859,971
taylorswift	154	108m	0	0	3	1,167;472;6,416;	8.2m;36.4k;291k;	371;648;913;	0		1,534,333
taylorswift	154	108m	0	0	3	1,432;472;6,416;	137m;36.4k;291k;	36;648;913;	0		2,250,859
taylorswift	154	108m	0	0	3	1,844;1,604;6,416;	31.2m;36.6k;291k;	728;256;913;	0		3,553,614
clarencehouse	1,822	371k	48	0	5	1,183;148;5;50;42;	191;3,605;14;920;1,356;	479;748;321;716;917;	1	1,181,708	64,517
clarencehouse	1,822	371k	48	0	3	147;1;47;	164;149;165;	304;311;197;	1	1,181,717	59,616
clarencehouse	1,822	371k	48	0	7	147;147;823;147;355;32;194;	143;143;400;143;535;417;483;	663;663;1,688;663;578;502;1,212;	1	1,181,719	57,978
clarencehouse	1,822	371k	48	1	8	9,409;836;120;1,822;1,363;1;423;269;	23.8k;249;87k;371k;4.9m;117;33.7k;49.5k;	3,094;366;0;48;81;1,005;10;822;	1	1,181,723	19,488
clarencehouse	1,822	371k	48	0	17	192;192;1,933;1,380;1,933;1,471;407;821;302;223;552;1,822;1,822;834;137;80;767;	4,853;4,853;807k;344;807k;44k;2,929;7,441;843k;1.7m;5.5m;371k;371k;315;186;104;22k;	147;147;51;250;51;220;294;76;80;2;0;48;48;451;692;197;994;	0		5,767
clarencehouse	1,822	371k	48	1	16	1,390;943;1,145;3,655;1,128;404;1,145;23;1;1,145;724;376;3,655;1,145;3,655;1,145;	12.3m;136k;5.7m;2.4m;1,117;574;5.7m;144;87;5.7m;736;160;2.4m;5.7m;2.4m;5.7m;	450;108;189;541;528;690;189;223;151;189;1,050;380;541;189;541;189;	0		3,882
clarencehouse	1,822	371k	48	1	4	1,222;27;27;27;	498;6;6;6;	3,357;13;13;13;	1	123	4,127
clarencehouse	1,822	371k	48	1	12	20;74;80;86;2;13;6;730;0;559;724;1,822;	51;103;104;590;80;83;30;61;1;182;736;371k;	127;48;197;456;127;75;43;131;0;402;1,050;48;	1	123	6,616
clarencehouse	1,822	371k	48	1	5	53;79;413;125;572;	138;130;460;480;112;	149;294;422;514;325;	1	123	3,970
clarencehouse	1,822	371k	48	1	2	84;312;	226;532;	319;553;	1	123	4,188
kensingtonroyal	1,363	4.9m	81	1	12	39;47;1,363;2,927;3,509;3,595;2;119;1,160;139;59;2,267;	226;153;4.9m;10.4m;4.9m;668;215;261;575;123;320;179;	195;378;81;1;178;1,640;433;698;901;473;488;424;	1	1,181,766	529,644
kensingtonroyal	1,363	4.9m	81	0	8	940;250;495;13;439;1,363;683;930;	733k;2,179;422;68;156;4.9m;97;3.4m;	914;2,277;825;170;89;81;249;202;	1	1,181,776	1,134,984
kensingtonroyal	1,363	4.9m	81	1	6	197;79;940;141;1,308;56;	314;362;733k;1,039;367;487;	1,597;385;914;432;204;479;	1	1,181,776	914,420
kensingtonroyal	1,363	4.9m	81	1	10	4;940;136;959;0;190;105;940;119;59;	38;733k;111;265;0;278;178;733k;261;75;	46;914;146;135;55;547;857;914;577;95;	1	1,181,783	670,946
kensingtonroyal	1,363	4.9m	81	1	1	1,363;	4.9m;	81;	1	1,181,790	637,643
kensingtonroyal	1,363	4.9m	81	1	14	963;514;194;30;2,453;1,143;125;162;194;283;5;332;175;320;	527;229;78;98;369;356;398;127;78;445;13;108;221;209;	163;479;325;130;504;723;927;542;325;373;33;164;328;371;	1	1,181,791	656,189
kensingtonroyal	1,363	4.9m	81	1	6	1,822;848;2,783;192;20;	371k;211;143;461;184;	48;952;435;478;838;	1	1,181,800	685,568
kensingtonroyal	1,363	4.9m	81	1	10	1,883;484;137;212;19;43;665;1,363;142;7;	2.2m;83;240;604;33;420;378;4.9m;96;66;	26;481;234;403;335;710;638;81;313;125;	1	1,181,806	482,030
kensingtonroyal	1,363	4.9m	81	1	4	143;1,363;243;86;	213;4.9m;154;175;	1,998;81;510;606;	1	1,181,811	611,404
kensingtonroyal	1,363	4.9m	81	1	7	33;62;61;8;352;38;67;	65;57;65;69;2,139;424;92;	33;225;123;90;2,146;373;308;	1	1,181,815	678,960
kensingtonroyal	1,363	4.9m	81	1	3	609;567;349;	116;673;180;	201;1,506;450;	0		993,576
gettyentertainment	6,416	291k	913	1	5	3;444;255;18;16;	82;676;310;308;315;	182;490;237;1,320;255;	2	42014,561	1,704
gettyentertainment	6,416	291k	913	1	6	1,604;241;1,203;1,501;69;803;	36.6k;863;442;87;4;531;	256;936;793;507;266;604;	2	14,5615,966	2,189
gettyentertainment	6,416	291k	913	1	2	445;140;	13.2k;4,125;	1,080;69;	1	14,561	1,543
gettyentertainment	6,416	291k	913	1	3	976;92;475;	424;177;187;	360;716;942;	2	51814,561	1,884
gettyentertainment	6,416	291k	913	1	4	18;1,844;3;21;	1,636;31.2m;832;325;	794;728;441;2,852;	2	51814,561	3,092
gettyentertainment	6,416	291k	913	1	4	1,604;140;359;234;	36.6k;4,125;912;1,863;	256;69;897;987;	1	14,561	2,352
