user	postsNum	followersNum	followingNum	hasLocation	AtUserNum	AtUserPostsNum	AtUserFollowerNum	AtUserFollowingNum	hashTagNum	hashTagPostsNum	likeNum
instylemagazine	8,211	2m	1,008	0	11	154;178;247;8,211;339;1,758;132;154;2,063;63;2,063;	108m;49;703;2m;1,123;158;230;108m;67.8m;5m;67.8m;	0;567;746;1,008;638;461;455;0;379;41;379;	3	1,183,04639,583433,824	6,692
instylemagazine	8,211	2m	1,008	0	22	541;8;307;299;141;709;315;708;961;218;466;314;724;33;619;901;120;189;206;8;88;82;	28.1k;86;369;231;431;923;303;211;97;414;347;417;269;45;207;1,159;104;1,530;80;172;110;89;	698;310;405;448;838;2,371;381;172;513;1,104;557;835;352;416;308;574;106;894;557;224;502;160;	0		6,324
instylemagazine	8,211	2m	1,008	0	5	231;191;506;663;346;	1.2m;608;101;1,438;485;	0;753;564;1,357;784;	0		2,336
instylemagazine	8,211	2m	1,008	0	13	10;1,095;174;10;1,616;408;1,259;2;47;273;95;381;1,262;	473;1,036;263;473;3,721;246;10.1k;9;274;997;100;273;459;	770;1,084;247;770;1,620;158;553;122;824;825;288;558;5,921;	0		7,151
instylemagazine	8,211	2m	1,008	0	24	780;105;469;98;436;105;500;16;2,000;825;23;215;44;276;25;145;768;1,291;295;82;132;80;82;34;	479k;2,500;180;289;895;2,500;173;1,192;310;162;87;210;96;200;463;183;621;505;1,106;1,602;2,340;598;37;171;	943;48;391;372;841;48;464;999;209;961;163;380;100;1,072;577;1,056;2,532;891;1,637;619;1,168;185;139;499;	1	16,335,005	23,134
instylemagazine	8,211	2m	1,008	1	5	8,211;8,211;430;93;850;	2m;2m;1,513;268;296;	1,008;1,008;926;265;331;	0		2,679
instylemagazine	8,211	2m	1,008	0	30	1,059;1,181;1,704;1,065;117;69;81;355;1,685;45;539;223;878;645;585;552;435;0;861;0;477;332;310;310;36;932;3;824;201;5;	31.5k;275;363;164;185;503;425;819;359;270;876;355;686;750;252;463;49;4;701;44;134;107;185;185;134;189;82;166;312;106;	446;361;406;391;610;334;102;790;1,042;1,200;1,005;903;672;587;614;991;554;2;320;256;628;206;255;255;119;353;23;226;370;34;	2	1,183,115295	6,795
instylemagazine	8,211	2m	1,008	0	8	35;149;3,783;1;50;97;305;778;	305;80;25.1k;33;157;220;498;291;	524;239;1,011;177;140;254;526;354;	2	1,183,141182,564	100,178
instylemagazine	8,211	2m	1,008	0	10	3,509;177;1,281;785;1,894;588;34;15;172;919;	4.9m;136;381;872;385;1,644;5;170;2,004;3,387;	178;362;761;921;506;504;41;162;340;475;	1	1,183,148	258,277
instylemagazine	8,211	2m	1,008	0	17	189;78;78;96;689;1,030;972;935;140;1,247;2,002;524;394;108;260;269;101;	307;405;405;116;1,444;1,544;478;856;229;525;648;640;538k;941;459;209;391;	340;1,282;1,282;268;1,112;2,455;687;544;267;527;1,670;300;831;1,262;673;361;1,756;	2	1,183,158158,470	119,639
